ID,ti,al,ar
1032769,You Raise Me Up,Greatest Hits,WestLife
477339,Walking In The Sun,2009年六月热搜歌二,网络歌手
1189522,Wild Wild Web,Burning Youth VOL 1,John The Whistler
1430760,Liekkas,世界上最动听的歌超级天籁系列合集 下,Sofia Jannok
618211,Straight Through My Heart,欧美2009年6-7月最新单曲,Backstreet Boys
711336,Take It Off,Animal（JP Deluxe Edition）,Ke$ha
4965702,Royals,The Love Club - EP,Lorde
1674040,Footprints In The Sand,Spirit,Leona Lewis
880493,What Doesn’t Kill You,2011年7月欧美新歌速递,Kelly Clarkson
4810785,22,22 - Single,Taylor Swift
181491,I will Always Love You,Best of MP3 人气超强西洋总冠军,Whitney Houston
823438,S&M (Remix),2011年4月欧美新歌速递1,Rihanna
1783988,Hall of Fame,Hall of Fame (feat. will.i.am) - Single,The Script
786348,Brought Up That Way,2011年1月欧美新歌速递2,Taylor Swift
413153,Breathless,Breathless,Shayne Ward
732385,Back to December (Acoustic Version),Speak Now (Deluxe Version),Taylor Swift
1437233,TiK ToK,Pure... Party,Ke$ha
4969658,Holy Grail (feat. Justin Timberlake),Magna Carta... Holy Grail,Jay-Z
4784248,#thatPOWER (feat. Justin Bieber),#thatPOWER - Single,will.i.am
764974,Club Can't Handle Me,"Only One Flo, Pt. 1 (Deluxe Version)",Flo Rida
1087176,Lucky,The Collection Britney Spears,Britney Spears
1543178,Set Fire to the Love Song,2012年07月欧美新歌速递,Selena Gomez + the Scene
1247010,Burning,15首全球至伤情歌1,Maria Arredondo
4740895,let’s get it started,我是歌手第一季 第3期,尚雯婕
4805671,The Other Side,The Other Side - Single,Jason Derülo
478024,booty music,2009年六月热搜歌三,Git Fresh
1592336,apologize,Now That's What I Call Love,Timbaland
1038513,Hangover,TY.O,Taio Cruz
320112,Big Big World,Big Big World 大千世界,Emilia
416841,Let's Start From Here,Start From Here,王若琳
5004081,Berzerk,Berzerk - Single,Eminem
4884793,Come With Me,Come With Me - Single,Ricky Martin
4968493,Love Will Remember,Stars Dance,Selena Gomez
4728063,Just the Way You Are,NOW That's What I Call Love Songs,Bruno Mars
485558,Yeah,Confessions (Special edition),Usher
4760445,Move like jagger,我是歌手第一季 第7期,尚雯婕
5013474,We Can't Stop,We Can't Stop - Single,Miley Cyrus
315036,Because You Loved Me,All The Way A Decade Of Song,Céline Dion
425608,Love Is A Lie,Simple Plan,Simple Plan
1131663,Some Nights,Some Nights,fun.
1338047,As Long As You Love Me,Love Songs,Backstreet Boys
483919,A New Day Has Come,A New Day Has Come,Céline Dion
185281,My humps,HITS,Black Eyed Peas
5023921,Heartbreaker,Heart Breaker - Single,Justin Bieber
1109148,Stronger,Stronger,Kelly Clarkson
314719,When You Believe,#1's,Mariah Carey
857506,Rain Over Me,Planet Pit (Deluxe Edition),Pitbull
5058415,Summer Time (feat. Snoop Dogg),Summer Time,吉克隽逸
4883447,Rise Up (feat. Jonatha Brooke & Ben Butler),Rise Up (feat. Jonatha Brooke & Ben Butler) - Single,Beyoncé
776540,嘟比嘟,最新汽车升级版1 - 车载低音炮,DJ小可
4798307,One Woman (独唱版),2013年4月新歌速递,张靓颖
5073572,Hard Out Here,Hard Out Here - Single,Lily Allen
186117,Listen,B'day(Deluxe Edition),Beyoncé
985017,Sparks Fly,Speak Now,Taylor Swift
5035265,Sweeter Than Fiction (From "One Chance"),Sweeter Than Fiction (From "One Chance") - Single,Taylor Swift
857505,Give Me Everything,Planet Pit (Deluxe Edition),Pitbull
4740095,Love Me (feat. Drake & Future),Love Me (feat. Drake & Future) – Single,Lil Wayne
436279,Discotheque迪斯科舞厅,舞曲大帝国 24(Maxi Kingdom 24),Yamboo
1023662,A Thousand Years,暮光之城4：破晓（上）电影原声带 The Twilight Saga: Breaking Dawn - Part 1(Soundtrack)  ,Christina Perri
5032949,Sing For You,Say The Words 我为你歌唱,曲婉婷
752757,Beautiful Tonight,Gravity,WestLife
412841,Until You,Breathless,Shayne Ward
931207,Moves Like Jagger (Studio Recording from,Hands All Over(Deluxe Edition),Maroon 5
96158,"Drama, Love & 'Lationships",Grown & Sexy,Babyface
455808,Still Waiting,The Best Of Sum 41,Sum 41
431054,Don'T Push Me,糖果盒子45超精选Sweetbox Complete Best,Sweetbox
797008,California Gurls,Grammy Nominees 2011,Katy Perry
593525,Never Had A Dream Come True,Sunshine,S Club 7
487844,Don’t Cry,Greatest Hits,Guns N' Roses
849037,MAKE LOVE,The Ultimate-International Best,BigBang
330528,Dying In The Sun,bury the hatchet,The Cranberries
1050703,Mas,Música + Alma + Sexo,Ricky Martin
4969703,American Girl,American Girl - Single,Bonnie McKee
818380,Better In Time,Songs for Japan,Leona Lewis
887283,Love The Way You Lie,"The Covers, Vol. 1",Jason Chen
690638,N-N-N-Neva Baby,Demo合辑,Ke$ha
751611,Blow,Cannibal [EP],Ke$ha
688559,Fast Forward,Swings And Roundabouts,Amy Diamond
338092,Good Foot,鲨鱼黑帮,Justin Timberlake
2548558,Pop Danthology 2012,Pop Danthology 2012,DJ Daniel Kim
793430,Someone Like You,21 (Deluxe Edition),Adele
4766497,Coins,银河的危机: 最奇异的午夜转播,王若琳
638149,Earth Song,Michael Jackson's This Is It (The Music That Inspired the Movie),Michael Jackson
1230967,Floorfiller,Floorfiller,Abba Teens
4989797,"Hold On, We're Going Home (feat. Majid Jordan)","Hold On, We're Going Home (feat. Majid Jordan) - Single",Drake
648247,Better In Time,曾经的歌系列24,Eminem
600806,The Mass,弥撒,Eric Levi
1193862,Apologize,"Songs I Wish I Wrote, Vol. 3",Alex Goot
4740115,I Would,Believe Acoustic,Justin Bieber
414461,She is My Sin,Bestwishes: The Best of,Nightwish
1136483,Talk to Me,Curiosity - EP,Carly Rae Jepsen
2451173,谁还会在意我留下的泪,在线热搜（华语）系列46,蒋雪儿
436857,Dota,Now You're Gone,Basshunter
668665,Try,名扬四海 电影原声带 Fame (Original Motion Picture Soundtrack) ,Asher Monroe
4719638,Downtown ,Downtown,Lady Antebellum
4816395,#Beautiful (feat. Miguel),#Beautiful (feat. Miguel) - Single,Mariah Carey
410708,When I'm With You,Back Home,WestLife
4776061,Dog days are over,我是歌手第一季 第9期,尚雯婕
703049,Break Your Heart,Rokstarr US Edition,Taio Cruz
4988851,Chasing Pavements,冲上云霄2 电视原声带,Adele
457089,the mass(德国党卫军第一装甲师战歌),2008年十二月热搜歌四,群星
4757010,Almost Home (Music from the Motion Picture "Oz the Great and Powerful"),魔境仙踪 电影主题曲 Almost Home (Music from the Motion Picture "Oz the Great and Powerful") - Single,Mariah Carey
1640905,Nothing's Gonna Change My Love,在线热搜（欧美）系列1,WestLife
432738,I Need You,Maria Arredondo,Maria Arredondo
2472667,One More Night,Now That's What I Call Music! 83,Maroon 5
488075,Hotel California,The Very Best of Eagles,The Eagles
635677,Bye Bye Beautiful,Made In Hong Kong,Nightwish
96161,Loneliness,Grown & Sexy,Babyface
1145724,Insomnia,悦曲悠然,Craig David
793428,One and Only,21 (Deluxe Edition),Adele
2547800,Try,The Truth About Love (Fan Edition),P!nk
1383574,Innocence (Live),Control Room (Live) - EP,Avril Lavigne
145926,far away from home,covergirl,Groove Coverage
454912,A Little Love,A Little Love,冯曦妤
4795646,One moment in time,我是歌手第一季 第12期,彭佳慧
1281990,In The Dark,The Night the Sun Came Up,Dev
722038,Misery,Hands All Over(Deluxe Edition),Maroon 5
4828850,#Beautiful (feat. Miguel),#Beautiful (feat. Miguel) - Single,Mariah Carey
145912,moonlight shadow,covergirl,Groove Coverage
4775536,Enlightenment,银河的危机: 最奇异的午夜转播,王若琳
797009,Telephone,Grammy Nominees 2011,Lady GaGa
793424,Set Fire to the Rain,21 (Deluxe Edition),Adele
776534,快乐阿拉蕾(英文版),最新汽车升级版1 - 车载低音炮,DJ小可
315198,I Surrender,A New Day Has Come,Céline Dion
4748438,Man in the mirror,我是歌手第一季 第5期,尚雯婕
4837757,When A Man Loves A Woman,欧美浪漫怀旧金曲,Michael Bolton
399280,Because Of You,My December,Kelly Clarkson
742606,So What,Greatest Hits...So Far!!! (Deluxe Version),P!nk
951662,buckle up n chuggeluck,2011年9月欧美新歌速递,Heaven
65476,Pretty Boy,Shades Of Purple,M2M
762420,Halo,I Am...World Tour 》[Live],Beyoncé
876988,The Dawn,Beyond Reality,Dreamtale
2480405,I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift
400567,Comsic Ride,All 4 One,Befour
707696,I Know You Want Me,Just Dance,Pitbull
951635,anaesthesia,2011年9月欧美新歌速递,Maximilian Hecker
690028,Love The Way You Lie,Recovery (Deluxe Edition),Eminem
4792167,Fine China,Fine China - Single,Chris Brown
721161,Burning In The Skies,A Thousand Suns,Linkin Park
73097,Imagine Me Without You (LP Version),Crystal Clear,Jaci Velasquez
5028908,All That Matters,All That Matters - Single,Justin Bieber
433883,Where is the love,曾经的歌系列19,Black Eyed Peas
459714,wait till you hear from me,2008年十二月热搜歌七,Sarah Connor
1192024,peerless,在线热搜（华语）系列67,网络歌手
5046112,Story of My Life,Story Of My Life - Single,One Direction
442722,Fighter,Stripped,Christina Aguilera
490141,Love Paradise,Stylish Index (第2版),陈慧琳
1540013,Call You Tonight,My Love Is Your Love / I Look To You,Whitney Houston
493220,Free Loop,Daniel Powter,Daniel Powter
2468495,Don't Stop The Party (feat. TJR),Global Warming (Deluxe Edition),Pitbull
732372,Sparks Fly,Speak Now (Deluxe Version),Taylor Swift
4783040,Someday We'll Be Together,北京遇上西雅图 电影原声带,Vonda Shepard
1429477,I'm Gonna Getcha Good!,世界上最动听的歌超级天籁系列合集 上,Shania Twain
744245,拉拉爱,DJ小可 ⑩帽子戏法,DJ小可
738182,Broken Angel,2010年11月欧美新歌速递2,Arash
311526,I Want It That Way 我就是爱你,Greatest Hits至尊无敌超精选,Backstreet Boys
1230129,Dance Again,Dance Again,Jennifer Lopez
519117,How High,舞池告白（Confessions on a Dancefloor）,Madonna
3586769,We Are Never Ever Getting Back Together,NRJ Music Awards 2013,Taylor Swift
321812,better man,The Love Songs,Robbie Williams
1113875,If I Die Young,Grammy Nominees 2012,The Band Perry
1936492,Clarity,Clarity,Zedd
1028240,Talk That Talk (feat. Jay-Z),Talk That Talk (Deluxe Edition),Rihanna
465246,Long Shot,All I Ever Wanted,Kelly Clarkson
797011,Need You Now,Grammy Nominees 2011,Lady Antebellum
299465,Wake Me Up When September Ends (Album Version),Wake Me Up When September Ends(UK CD #2)(CD-SINGLE),Green Day
416842,Lost in Paradise,Start From Here,王若琳
4963164,"Love the Way You Lie, Pt. III (Original Demo)",Don't Look Down (Itunes Version),Skylar Grey
4810804,Crazy Kids (feat. Pitbull),Crazy Kids (feat. Pitbull) - Single,Ke$ha
101083,far away from home,二月份最新单曲推荐(2006),Groove Coverage
721765,I Believe I Can Fly,Epic,R. Kelly
804274,Price Tag,Price Tag,Jessie J
890039,Sexy Bitch,One Love (Deluxe Version),David Guetta
422435,Side Effects,E=MC2,Mariah Carey
2462265,Kiss You,Take Me Home: Yearbook Edition,One Direction
391505,Floorfiller,CS音乐 (CS Movies Cool),游戏原声
1766359,Get Up,Get Up (A Cowboys Anthem),Kelly Clarkson
1700391,It Is My Life,在线热搜（欧美）系列2,Glee Cast
4803852,Try,538 Hitzone 65,P!nk
413288,home,英国UK单曲榜TOP40(2008.12-2),WestLife
966571,Raindrops Keep Falling On My Head,The Things We Do For Love,王若琳
752261,Say You Say Me,欧美浪漫怀旧金曲,Lionel Richie
458437,Crush,David Archuleta,David Archuleta
672255,Nothin' On You,The Adventures Of Bobby Ray,B.o.B.
3585352,Here With You,在线热搜(欧美)系列10,Asher Monroe
951636,summer days in bloom,2011年9月欧美新歌速递,Maximilian Hecker
454900,Proud of You,A Little Love,Fiona Fung
1275669,Burn It Down (Live),Burn It Down - EP,Linkin Park
722039,Give a Little More,Hands All Over(Deluxe Edition),Maroon 5
1080612,Bangarang,BangArang,Skrillex
726294,Liquor Store Blues,Doo-Wops & Hooligans,Bruno Mars
1032925,Sparks Fly (Live),Speak Now World Tour Live,Taylor Swift
732383,If This Was a Movie,Speak Now (Deluxe Version),Taylor Swift
4771551,One Woman (feat. 群星),2013年3月新歌速递,张靓颖
818336,Talking to the Moon,Songs for Japan,Bruno Mars
416164,Big Bang,For The World,BigBang
535145,Here I Am,Anthology,Bryan Adams
1847961,Sing You to Sleep,Love Stories (Bonus Track Version),Matt Cab
763275,Lights (Single Version),Bright Lights,Ellie Goulding
391249,What I＇ve Done,Minutes to Midnight,Linkin Park
941307,Turn Me on,Nothing But The Beat (US Edition),David Guetta
1493133,Halo,2010 Grammy Nominees (2010格莱美的喝彩),Beyoncé
458649,Supermassive Black Hole,暮光之城,Muse
182534,Timeless,2006你最喜爱的10大英文金曲,Kelly Clarkson
728806,Back to December,Speak Now (Deluxe Version),Taylor Swift
448262,Insomnia,Greatest Hits,Craig David
1425570,Low,Good Feeling EP,Flo Rida
1005897,You Love Me,Stronger,Kelly Clarkson
711339,Blah Blah Blah (Feat. 3OH!3),Animal（JP Deluxe Edition）,Ke$ha
724855,When You're Gone (Acoustic Version),12" Masters - The Essential Mixes: Avril Lavigne,Avril Lavigne
1004386,You Belong with Me,Journey To Fearless The Ultimate Live Experience,Taylor Swift
460767,SoloTu,2008年十二月热搜歌十二,未知
394877,喜欢你没道理(DJ版),RNB舞曲5,张韶涵
782443,B What U Wanna B,Darin,Darin
639147,You're Not Sorry,Fearless(Platinum Edition),Taylor Swift
690067,Nosy Neighbour,Stadium,Akon
4997219,Slave 2 The Rhythm (prod. Max Methods) [feat. Justin Bieber],Slave 2 The Rhythm (prod. Max Methods) [feat. Justin Bieber] - Single,Michael Jackson
4752444,I Wanted You,在线热搜(欧美)系列12,Ina Wroldsen
4717412,Diamonds (Dave Aude 100 Edit),Diamonds (Remixes),Rihanna
1087242,Criminal,The Collection Britney Spears,Britney Spears
458969,Oops Jaime Pas Langlais,2008年十二月热搜歌七,群星
4820113,Easy Lover (feat. 萧敬腾),我是歌手第一季 总决赛,林志炫
712291,Mine,Speak Now (Deluxe Version),Taylor Swift
4819797,Heart Attack,Demi,Demi Lovato
4829408,Love You Like a Love Song,When The Sun Goes Down(Deluxe Edition),Selena Gomez + the Scene
2451883,Troublemaker (feat. Flo Rida),Troublemaker,Olly Murs
391534,she is my sin-Nightwish,CS音乐 (CS Movies Cool),Nightwish
986783,The Time (Dirty Bit),The Beginning,Black Eyed Peas
449092,Because Of You,Strawberry Love 爱.草莓,Kelly Clarkson
975516,I Like How It Feels,I Like How It Feels EP,Enrique Iglesias
4789066,The Way (feat. Mac Miller),The Way (feat. Mac Miller) - Single,Ariana Grande
412860,Melt The Snow,Breathless,Shayne Ward
751276,Keep Your Head Up,Michael,Michael Jackson
863167,Love On Top,4,Beyoncé
1425566,Wild Ones,Good Feeling EP,Flo Rida
690026,So Bad,Recovery (Deluxe Edition),Eminem
1209419,Last Christmas,Sounds of the Season: The Taylor Swift Holiday Collection,Taylor Swift
306799,Yellow,A Rush Of B-Sides To Your Head,Coldplay
1015095,Only Thing I Ever Get For Christmas,Under the Mistletoe (Deluxe Version),Justin Bieber
672232,Waka Waka,2010年世界杯官方专辑 Listen Up! The Official 2010 FIFA World Cup Album,Shakira
1940700,Honesty,有形的翅膀,张韶涵
1687546,The King Is Dead But the Queen Is Alive,Blow Me (One Last Kiss),P!nk
1154212,Make You Feel My Love (Live At Hotel Cafe),19 (Bonus Tracks),Adele
2468498,Hope We Meet Again (feat. Chris Brown),Global Warming (Deluxe Edition),Pitbull
396870,Gala-Faraway(Main Version),慢摇舞曲专辑9,群星
857532,So Young,Suede (Remastered) [Deluxe Edition],Suede
1223401,Price Tag (Feat. B.o.B),Price Tag,Jessie J
2650840,United State Of Pop 2012 (Shine Brighter),United State Of Pop 2012 (Shine Brighter),DJ Earworm
647499,I See You,欧美2009年12月最新单曲,Leona Lewis
5013381,"23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J)","23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J) - Single",Mike Will Made It
389188,Runaway,The Best Damn Thing: Deluxe Edition,Avril Lavigne
447391,Love Story,欧美10月最新单曲推荐,Taylor Swift
98104,Everytime,In The Zone (Bonus Track Version),Britney Spears
65477,Give A Little Love (LP Version),Shades Of Purple,M2M
4988844,Say You Love Me,冲上云霄2 电视原声带,Patti Austin
1213739,Safe & Sound,Safe & Sound,Taylor Swift
4819101,Make It Up,Make It Up,Sam Tsui
1738728,Triumphant (Get 'Em) [feat. Rick Ross & Meek Mill],Triumphant (Get 'Em),Mariah Carey
5073473,The Fox (What Does the Fox Say?),Now That's What I Call Music! 86,Ylvis
679128,The Touch,2010年5月欧美新歌速递,Maria Arredondo
434764,Better in Time,欧美UK最新单曲,Leona Lewis
5030166,Rap God,Rap God - Single,Eminem
4728105,Meet Me in Paris (Radio Edit) [DJ Antoine vs. Mad Mark],Sky Is the Limit,DJ Antoine
804200,Dr Bieber,2011年2月欧美新歌速递1,Justin Bieber
816202,Just Like That,In The Club,Danny
659204,Making Love Out Of Nothing At All,艋舺 电影原声带,Air Supply
4965692,La Da Dee,Surfers Paradise (Deluxe Version),Cody Simpson
5006044,Heart Breaker (试听版),Heart Breaker - Single,Justin Bieber
5026532,What Makes You Beautiful,G-A-Y,One Direction
666118,Stay here Forever,情人节 电影原声带 Valentine's Day (Original Motion Picture Soundtrack) ,Jewel
307012,Numb,Meteora,Linkin Park
442396,Out Of This Club,Doll Domination,The Pussycat Dolls
1116325,Paparazzi,Hold On ‘Til the Night 亚洲特别版,Greyson Chance
4799454,Crash My Party,Crash My Party - Single,Luke Bryan
4967721,Everybody Feel Like Dancing,小时代2 电影原声带,梁永泰
1840897,Come Baby,百度酒吧,Various Artists
1929042,Trespassing (Live),中国好声音 巅峰之夜,Adam Lambert
4968485,Slow Down,Stars Dance,Selena Gomez
742755,Waiting In the Wings,Obsession,Shayne Ward
652059,Only Time,极致典藏-跨世纪精选（The Very Best Of Enya）,Enya
1005338,The Boys (English ver.),The Boys,少女时代
315375,Heal The World,Dangerous,Michael Jackson
5032951,My Little Friend,Say The Words 我为你歌唱,曲婉婷
4744610,Bleeding Love,The Power of Love,Leona Lewis
742517,Love You Like I Do,2010年11月欧美新歌速递1,Jamillions
4969811,The Heart of Dixie,The Heart of Dixie - Single,Danielle Bradbery
1938521,Same Love (feat. Mary Lambert),The Heist (Deluxe Version),Macklemore & Ryan Lewis
972214,Dilemma,Q-Music Top 500 Van Deze Eeuw - 2011,Nelly
425607,Take My Hand,Simple Plan,Simple Plan
856926,Someone Like You,Someone Like You,Adele
4988849,Stop The Clock,冲上云霄2 电视原声带,Oasis
4984182,Can't Believe It (feat. Pitbull),Can't Believe It (feat. Pitbull) - Single,Flo Rida
312123,that's why(you go away),paint my love greatest hits,Michael Learns To Rock
2636487,Party Rock Anthem,Billboard 2012 Year-End Hot 100,LMFAO
4763373,We Own Tonight,10,New Kids On The Block
1302225,Whistle,Whistle,Flo Rida
996311,3 (Manhattan Clique Remix Club),"B In the Mix - The Remixes, Vol. 2",Britney Spears
1000650,Somebody That I Used to Know,Making Mirrors,Gotye
960491,Moon Girl,I Am The Club Rocker,Inna
1827625,tu vivi nell'aria,在线热搜（欧美）系列5,Gigi D'Agastino
4973520,Burn,Burn - Single,Ellie Goulding
711337,Ki$$ N Tell,Animal（JP Deluxe Edition）,Ke$ha
4772113,Body Party,Body Party - Single,Ciara
732388,Back to December (US Version),Speak Now (Deluxe Version),Taylor Swift
838627,Click Clack Away,2011年5月欧美新歌速递1,Bruno Mars
807608,Like A G6,Now Thats What I disposition Music! 37 (US Retail),Far East Movement
863481,My Dilemma,When the Sun Goes Down,Selena Gomez + the Scene
816030,Top Of The World,2011年3月欧美新歌速递2,The Cataracs
806845,Eenie Meenie,2011年2月欧美新歌速递1,Sean Kingston
648084,Lights Off,All Or Nothing,Jay Sean
1238038,We Will Rock You,精选车载音乐（二）,童声
448271,You Don't Miss Your Water,Greatest Hits,Craig David
5094103,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull
1190867,路灯下的小姑娘,曾经的歌系列 42,Modern Talking
1149750,Only One,吸血鬼日记第2季 电视原声带 The Vampire Diary Season 2(Original Soundtrack),吸血鬼日记
807551,4 Real,Goodbye Lullaby (Deluxe Edition),Avril Lavigne
4703751,Cause You're My Zing,在线热搜(欧美)系列11,Selena Gomez
2466321,People Like Us,Greatest Hits - Chapter One,Kelly Clarkson
414743,Take Me To Your Heart,I Walk This Road Alone,Michael Learns To Rock
4816756,Thank You Very Much,Thank You Very Much - Single,Margaret
4885317,First Time,First Time - Single,Jonas Brothers
638138,They Don't Care About us,Michael Jackson's This Is It (The Music That Inspired the Movie),Michael Jackson
4744607,Grenade,The Power of Love,Bruno Mars
449086,No Promises,Strawberry Love 爱.草莓,Shayne Ward
458922,Doo Be Di Boy,2008年十二月热搜歌七,DJ
977692,Like A Robot,Megalomania,Aqua
4827775,Nothing Here but Love,Shadows,Lenka
1201654,Shots,Sorry For Party Rocking,LMFAO
2451154,关于爱,在线热搜（华语）系列46,张振宇
951627,7 DAYS,2011年9月欧美新歌速递,Craig David
4819804,Really Don't Care (feat. Cher Lloyd),Demi,Demi Lovato
776532,女声嘻哈,最新汽车升级版1 - 车载低音炮,DJ小可
1474780,Faint,Greatest Hits,Linkin Park
4792154,Dancing With The Devil ,2013年4月欧美新歌速递,Ke$ha
5032954,Say The Words,Say The Words 我为你歌唱,曲婉婷
454323,Footprints in the Sand (Single Mix),Spirit (Deluxe Edition),Leona Lewis
4749546,Live While We're Young,BRIT Awards 2013,One Direction
3585922,My Life (feat. Eminem & Adam Levine),My Life (feat. Eminem & Adam Lavine),50 Cent
429357,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna
186115,listen (and hidden track),B'day(Deluxe Edition),Beyoncé
1194492,Broken Angel,Broken Angel,Arash
454294,Better in Time (Single Mix),Spirit (Deluxe Edition),Leona Lewis
4759878,Dark Paradise,Dark Paradise - Single,Lana Del Rey
454325,A Moment Like this,Spirit (Deluxe Edition),Leona Lewis
1136481,Curiosity,Curiosity - EP,Carly Rae Jepsen
951619,buttons,2011年9月欧美新歌速递,The Pussycat Dolls
1113863,Rolling In the Deep,Grammy Nominees 2012,Adele
4744614,Apologize (feat. OneRepublic),The Power of Love,Timbaland
4965713,Blurred Lines (feat. T.I. & Pharrell),Blurred Lines,Robin Thicke
362078,The Magic Key,Popcorn Hits Vol.6,One-T And Cool-T
4774048,Take the World On (feat. 2NE1),2013年3月欧美新歌速递,will.i.am
1508670,One More Night (Sticky K Remix),Overexposed (Deluxe Version),Maroon 5
4784333,Down,吸血鬼日记第1季 电视原声带 The Vampire Diary Season 1(Original Soundtrack),吸血鬼日记
3586761,Die Young,NRJ Music Awards 2013,Ke$ha
1226623,Riot On the Dancefloor,Riot On the Dancefloor,Groove Coverage
840655,Almost Lover,Daylight Breaks,La'i
1857411,When You're Gone,When You're Gone - EP,Avril Lavigne
776537,阿玛尼水晶宫,最新汽车升级版1 - 车载低音炮,DJ小可
2451170,爱情没那么美DJ,在线热搜（华语）系列46,孙浩雨
742612,Whataya Want from Me,Greatest Hits...So Far!!! (Deluxe Version),P!nk
5006022,Eternally Yours ,冲上云霄2 电视原声带,Tim Ellis
1190857,cut in love,曾经的歌系列 42,Eminem
4989809,Living To Love You,冲上云霄2 电视原声带,Sarah Connor
177283,Loney (DJ Lhasa Remix Edit) - Deep Spirit,摇头电9,群星
1225940,Stay Here Forever,Sweet and Wild,Jewel
434769,Apologize,欧美UK最新单曲,Timbaland
2471698,C'mon,C'mon - Single,Ke$ha
722197,All for You,All for You - EP,Ace Of Base
